CAZy Family,Glycoside Hydrolases,,,,,,,,GlycosylTransferases,,,,,,,,,Polysaccharide lyases,Carbohydrate Esterases,,,,,,,Auxilary Activities,,,,,,,,,Carbohydrate Binding Molecules,,,,,,,,,,,,
Retrieved incomplete EC number,1.14.99.-,2.4.1.-,2.4.2.-,2.4.99.-,3.1.1.-,3.2.1.-,4.2.2.n1,5.4.99.-,2.-.-.-,2.4.-.-,2.4.1.-,2.4.2.-,2.4.99.-,3.1.-.-,3.2.1.-,3.5.1.-,5.4.99.-,4.2.2.-,2.3.1.-,2.4.1.-,3.-.-.-,3.1.1.-,3.2.1.-,3.5.1.-,4.2.2.-,1.-.-.-,1.1.3.-,1.1.99.18,1.2.3.15,1.6.5.6,1.10.3.-,1.11.1.-,1.14.99.-,3.2.1.78,1.-.-.-,1.1.3.9,1.1.99.18,1.14.99.53,2.4.1.-,2.4.2.-,3.1.1.-,3.1.3.16,3.2.1.-,3.5.1.-,4.2.2.-,4.2.2.n1,
Identfiers digits retrieve with the incomplete parent EC number,53,2,,16,72,1,13,11,,,1,26,1,3.1.3.12,18,,30,1,20,,,3,4,25,2,,4,29,,,2,5,53,,,,,54,2,,6,,1,,,1,
,,4,,,73,2,15,15,,,11,38,3,,,,,2,122,,,6,8,41,,,7,,,,,11,54,,,,,55,18,,72,,2,,,2,
,,5,,,,3,16,16,,,12,39,4,,,,,3,,,,11,40,80,,,9,,,,,13,55,,,,,56,19,,73,,3,,,3,
,,7,,,,4,17,,,,13,40,6,,,,,5,,,,41,55,89,,,10,,,,,14,56,,,,,,21,,,,4,,,10,
,,8,,,,6,18,,,,14,43,7,,,,,6,,,,72,,104,,,13,,,,,16,,,,,,,25,,,,6,,,11,
,,9,,,,7,,,,,15,,8,,,,,7,,,,73,,105,,,16,,,,,,,,,,,,41,,,,8,,,12,
,,10,,,,8,,,,,16,,9,,,,,8,,,,74,,108,,,38,,,,,,,,,,,,248,,,,11,,,15,
,,12,,,,10,,,,,17,,18,,,,,9,,,,,,115,,,47,,,,,,,,,,,,,,,,14,,,23,
,,18,,,,11,,,,,21,,19,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,
,,19,,,,14,,,,,22,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,
,,20,,,,15,,,,,26,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,
,,25,,,,17,,,,,27,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,
,,30,,,,18,,,,,33,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,
,,31,,,,20,,,,,34,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,
,,49,,,,21,,,,,35,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,
,,64,,,,22,,,,,37,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,
,,67,,,,23,,,,,38,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,
,,82,,,,24,,,,,40,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,
,,97,,,,25,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,
,,99,,,,26,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,
,,100,,,,28,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,
,,140,,,,31,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,
,,161,,,,32,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,
,,183,,,,33,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,
,,207,,,,35,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,
,,211,,,,39,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,,,
,,216,,,,37,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,
,,230,,,,38,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,
,,243,,,,39,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,
,,247,,,,40,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,,,,
,,248,,,,41,,,,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,
,,279,,,,45,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,
,,281,,,,46,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,
,,319,,,,48,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,
,,320,,,,49,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,
,,321,,,,50,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,
,,329,,,,51,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,
,,333,,,,52,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,
,,339,,,,53,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,
,,340,,,,54,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,
,,352,,,,55,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,
,,359,,,,57,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,
,,,,,,58,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,
,,,,,,59,,,,,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,
,,,,,,60,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,,,
,,,,,,61,,,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,
,,,,,,62,,,,,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,
,,,,,,63,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,
,,,,,,64,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,
,,,,,,65,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,,,,
,,,,,,67,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,
,,,,,,68,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,
,,,,,,70,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,,,,
,,,,,,71,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,
,,,,,,73,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,
,,,,,,74,,,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,,,,
,,,,,,75,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,
,,,,,,76,,,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,
,,,,,,78,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,
,,,,,,80,,,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,,,
,,,,,,81,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141,,,,
,,,,,,82,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,
,,,,,,83,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,
,,,,,,84,,,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,,,,
,,,,,,85,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,,,,
,,,,,,86,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,
,,,,,,88,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,
,,,,,,89,,,,,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176,,,,
,,,,,,91,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,,,,
,,,,,,93,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,,,,
,,,,,,94,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,95,,,,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,96,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,97,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,98,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,99,,,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,100,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,101,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,102,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,103,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,104,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,105,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,106,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,107,,,,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,108,,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,109,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,111,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,113,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,114,,,,,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,116,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,117,,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,118,,,,,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,119,,,,,225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,120,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,122,,,,,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,123,,,,,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,125,,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,126,,,,,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,129,,,,,238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,130,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,131,,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,132,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,133,,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,135,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,136,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,139,,,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,140,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,141,,,,,257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,145,,,,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,146,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,147,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,149,,,,,261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,150,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,151,,,,,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,152,,,,,267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,153,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,154,,,,,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,155,,,,,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,156,,,,,283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,157,,,,,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,158,,,,,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,161,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,162,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,164,,,,,289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,165,,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,166,,,,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,167,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,169,,,,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,170,,,,,339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,171,,,,,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,172,,,,,351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,173,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,174,,,,,374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
